type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,c951e6ed887ad8b9595652f39dad646590b22037,3.0,118.0,1.0,119.0,9.0,9.0,59.666.666.666.666.600
other,247ef5c05460b4efa56007b1127b0352c0a634be,2.0,15.0,0.0,15.0,0.0,2.0,240.5
other,3739c5cf2095cb3789bd828f9e33a0bed90183f4,9.0,120.0,129.0,249.0,0.0,32.0,9.711.111.111.111.110
other,2bccf45185890c0686fa52c43caee5ed66d929ac,2.0,72.0,0.0,72.0,4.0,4.0,51.5
other,719c1b50deb9d1c33f696f0b7ce700c59ae7ebb5,1.0,18.0,0.0,18.0,1.0,1.0,97.0
other,c8cbb0d022509452d0f6366bfc8dd889d5c0a8eb,8.0,288.0,94.0,382.0,6.0,39.0,86.125
other,ceb42f132220c71c7ad9a2948b24ee4f9e7df8e0,18.0,80.0,32.0,112.0,0.0,3.0,23.666.666.666.666.600
other,0ebaef2b9bae5420d8ab4131a060e4b422aa6058,2.0,40.0,5.0,45.0,4.0,10.0,83.0
other,abb3744e0ac62818c525a8b7c54f90faf85ba332,1.0,1.0,1.0,2.0,0.0,1.0,10.0
other,d2ddd4ef9d3f86d5e0df082bed000a77b155073e,2.0,77.0,2.0,79.0,3.0,4.0,45.5
other,5d8fdad791e84daadc7298fc539a9313674d9095,3.0,64.0,28.0,92.0,4.0,9.0,57.666.666.666.666.600
other,66e1b2899cd7671a5b1f8ec4b9eb0a7654fd566d,1.0,0.0,1.0,1.0,0.0,0.0,71.0
other,de4acc58bbe8d20853502b67c5d1dc8ea26c0fef,3.0,21.0,22.0,43.0,0.0,5.0,9.0
other,0ad4130a085e04d368df02b83707f5ecbae8f076,1.0,10.0,1.0,11.0,0.0,1.0,77.0
other,88b49fd8215266124ec9b010395072f2a7d5c9fa,3.0,14.0,0.0,14.0,3.0,3.0,18.333.333.333.333.300
other,7bdedbe624ceae5aa87109c8dbfec5f1f7e40c19,1.0,8.0,1.0,9.0,0.0,0.0,1.0
other,1df923143f087c826eb767ff7dfec940d8322dc8,3.0,53.0,51.0,104.0,-2.0,3.0,27.0
other,474c23aa3035dc34eb6487ee7e2d4ba03bfb8c7a,5.0,502.0,118.0,620.0,29.0,55.0,128.2
other,0b2486f7f32fbe21c8630f330d240546a15beb66,4.0,161.0,66.0,227.0,4.0,25.0,23.25
other,077281796ed65222e24e70b2233c9e1a7e21d4a2,2.0,61.0,10.0,71.0,5.0,10.0,16.5
other,a01b5115985e555761fee9f9dafb9d7f14ad13cd,2.0,71.0,2.0,73.0,5.0,6.0,14.0
other,a146e50427203d43dcc1f56bf86d5b04b14a6ae1,3.0,26.0,0.0,26.0,1.0,2.0,73.0
other,e06de327e22d9302781611594037542e2fed5ea1,3.0,65.0,0.0,65.0,4.0,6.0,43.666.666.666.666.600
other,6cf1f1e75d53e6a6094c9880c5126b86e048e7b6,1.0,1.0,1.0,2.0,0.0,1.0,14.0
other,d562795f7daab270c8145a4aa1fd20ada4e63967,3.0,8.0,25.0,33.0,-1.0,9.0,21.666.666.666.666.600
other,efe3de88acae1e3e30e8e98ce2cd7f9415299e16,3.0,4.0,7.0,11.0,0.0,3.0,20.0
other,ec0cdf2970aa6104a481e35f4e2734448ade28bc,1.0,29.0,2.0,31.0,1.0,1.0,242.0
other,8e2116fddcc1f9ad2b15d03fbc8918e30831d6a2,3.0,7.0,7.0,14.0,0.0,10.0,47.0
other,98c620e19aa1172a5b78f8f9308d61edab2d1105,1.0,4.0,3.0,7.0,0.0,2.0,98.0
other,d77dd1d5ec38d09731e1d4b51befef1cd6fbb868,1.0,1.0,1.0,2.0,0.0,1.0,69.0
other,911a625cd5c2a98d721daa5c0f3945674b707500,4.0,142.0,4.0,146.0,7.0,8.0,26.5
other,9828d9df70259f0abda37ce5b69a8683726e0978,5.0,24.0,1.0,25.0,0.0,6.0,136.2
other,c07b8fddc9c2da9744e112aec54e1a5c3b957bb6,2.0,72.0,0.0,72.0,2.0,2.0,1.0
other,f5905f4ef3818d8f211e6ecee9892709a28206d1,2.0,58.0,19.0,77.0,2.0,5.0,92.5
other,7a29af6d95f961e1861f54b03525938ce1f5c0d7,4.0,196.0,23.0,219.0,13.0,28.0,64.75
